date,sha,editor_tti_ms,editor_floor_tti_ms,editor_overhead_ms,editor_tbt_ms,css_kb_gz,js_kb_gz
2026-07-19,bf28241,34974,32788,2186,3137,82.0,33.9
2026-07-19,0d95d38,34345,36103,-1758,3507,82.0,33.9
2026-07-19,a10ab30,33446,36021,-2575,2996,82.3,33.9
2026-07-19,e1a35ac,33055,32077,978,2586,82.7,33.9
2026-07-25,3824dd3,35223,35991,-768,3245,83.1,33.9
2026-07-25,6471f2b,33471,34731,-1260,2977,83.6,33.9
2026-07-25,98e31e4,32214,31580,634,1841,83.6,33.9
2026-07-25,87b54ef,35379,36082,-703,3437,83.6,33.9
2026-07-25,e33c4a4,33683,36138,-2455,2966,83.9,33.9
2026-07-25,bda1c09,34818,36018,-1200,3522,83.9,33.9
2026-07-25,1a4ce4b,34556,36070,-1514,3120,83.9,33.9
2026-07-25,3094bbd,34192,36156,-1964,3368,84.0,33.9
2026-07-25,0f1da45,35653,36090,-437,1768,84.4,33.9
2026-07-25,7fdd4e3,33886,36096,-2210,3048,84.5,33.9
2026-07-25,0e4debc,33340,36135,-2795,3037,84.5,33.9
2026-07-25,471b756,34353,36166,-1813,3540,84.5,33.9
2026-07-26,fc838f5,34027,35986,-1959,3483,84.5,33.9
2026-07-26,7968820,33530,34772,-1242,3322,84.5,33.9
2026-07-30,96ca6f7,33967,35942,-1975,2992,84.5,33.9
2026-07-30,5551492,34539,33968,571,3110,84.5,33.9
2026-07-30,ffce324,33196,33360,-164,3231,84.5,33.9
2026-07-30,ffa565e,33600,36109,-2509,2911,85.5,33.9
2026-07-30,d0e6563,33742,33054,688,3215,85.7,33.9
2026-07-31,dde3dd2,32685,31851,834,2598,86.7,33.9
